№,Наименование предприятия,ОКВЭД,Вид деятельности,Отчетный период прошлого года (В натуральном выражении),Отчетный период прошлого года (В стоимостном выражении),Отчетный период текущего года (В натуральном выражении),Отчетный период текущего года (В стоимостном выражении),"Отношение периодов, %",Отчетный месяц прошлого года (В натуральном выражении),Отчетный месяц прошлого года (В стоимостном выражении),Отчетный месяц текущего года (В натуральном выражении),Отчетный месяц текущего года (В стоимостном выражении),"Отношение месяцев, %",Месяц,Год
118.0,Предприятие 118,,,210.0,200000.0,196.0,196000.0,93.33333333333333,60.0,60000.0,70.0,70000.0,116.66666666666667,апрель,2021
119.0,Предприятие 119,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",400.0,400000.0,300.0,300000.0,75.0,48.0,276000.0,46.0,77000.0,95.83333333333334,апрель,2021
120.0,Предприятие 120,,,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,апрель,2021
121.0,Предприятие 121,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,апрель,2021
122.0,Предприятие 122,,,210.0,200000.0,196.0,196000.0,93.33333333333333,60.0,60000.0,70.0,70000.0,116.66666666666667,апрель,2021
123.0,Предприятие 123,,,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,апрель,2021
124.0,Предприятие 124,,,350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.81818181818181,апрель,2021
125.0,Предприятие 125,,,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,апрель,2021
126.0,Предприятие 126,,,40.0,400000.0,30.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,апрель,2021
127.0,Предприятие 127,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,апрель,2021
128.0,Предприятие 128,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,апрель,2021
129.0,Предприятие 129,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,апрель,2021
130.0,Предприятие 130,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,апрель,2021
1.0,Предприятие 1,Добыча полезных ископаемых,добыча металлических руд,100.0,100000.0,90.0,90000.0,90.0,77.0,77000.0,60.0,60000.0,77.92207792207793,май,2021
2.0,Предприятие 2,,,330.0,330000.0,80.0,80000.0,24.242424242424242,78.0,78000.0,70.0,70000.0,89.74358974358975,май,2021
3.0,Предприятие 3,,,150.0,150000.0,100.0,100000.0,66.66666666666666,88.0,88000.0,90.0,90000.0,102.27272727272727,май,2021
4.0,Предприятие 4,,,550.0,550000.0,250.0,250000.0,45.45454545454545,135.0,135000.0,46.0,46000.0,34.074074074074076,май,2021
5.0,Предприятие 5,,,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,май,2021
,"Итого удельный вес, в % ",,,,,,,,,,,,,май,2021
6.0,Предприятие 6,,Добыча сырой нефти и природного газа ,550.0,550000.0,330.0,330000.0,60.0,80.0,80000.0,70.0,70000.0,87.5,май,2021
7.0,Предприятие 7,,,120.0,120000.0,100.0,100000.0,83.33333333333334,55.0,55000.0,35.0,35000.0,63.63636363636363,май,2021
8.0,Предприятие 8,,добыча прочих полезных ископаемых,300.0,300000.0,100.0,100000.0,33.33333333333333,50.0,50000.0,45.0,45000.0,90.0,май,2021
9.0,Предприятие 9,,предоставление услуг в области добычи полезных ископаемых,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,май,2021
10.0,Предприятие 10,,,135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
11.0,Предприятие 11,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
12.0,Предприятие 12,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
13.0,Предприятие 13,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
,"Итого удельный вес, в %:",,,,,,,,,,,,,май,2021
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666667,70.0,70000.0,90.0,90000.0,128.57142857142858,май,2021
15.0,Предприятие 15,,производство одежды,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
16.0,Предприятие 16,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
17.0,Предприятие 17,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
18.0,Предприятие 18,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
19.0,Предприятие 19,,,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923077,май,2021
20.0,Предприятие 20,,производство кожи и изделий из кожи,400.0,400000.0,420.0,420000.0,105.0,80.0,80000.0,70.0,70000.0,87.5,май,2021
21.0,Предприятие 21,,,550.0,550000.0,300.0,300000.0,54.54545454545454,56.0,56000.0,60.0,60000.0,107.14285714285714,май,2021
22.0,Предприятие 22,,,150.0,150000.0,250.0,250000.0,166.66666666666669,75.0,75000.0,88.0,88000.0,117.33333333333333,май,2021
23.0,Предприятие 23,,производство изделий народных художественных промыслов ,100.0,100000.0,110.0,110000.0,110.00000000000001,56.0,56000.0,80.0,80000.0,142.85714285714286,май,2021
24.0,Предприятие 24,,,120.0,120726.0,90.0,90538.0,75.0,75.0,75000.0,70.0,70000.0,93.33333333333333,май,2021
25.0,Предприятие 25,,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,май,2021
26.0,Предприятие 26,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,май,2021
27.0,Предприятие 27,,,200.0,200000.0,196.0,196000.0,98.0,60.0,60000.0,70.0,70000.0,116.66666666666667,май,2021
28.0,Предприятие 28,,,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,май,2021
29.0,Предприятие 29,,,350.0,350000.0,400.0,88.0,114.28571428571428,44.0,44000.0,47.0,88000.0,106.81818181818181,май,2021
30.0,Предприятие 30,,производство бумаги и бумажных изделий,430.0,430000.0,420.0,96000.0,97.67441860465115,130.0,430000.0,89.0,96000.0,68.46153846153847,май,2021
31.0,Предприятие 31,,,500.0,500000.0,520.0,121546.0,104.0,98.0,500000.0,61.0,121546.0,62.244897959183675,май,2021
32.0,Предприятие 32,,"производство кокса, нефтепродуктов",12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,май,2021
33.0,Предприятие 33,,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,май,2021
34.0,Предприятие 34,,,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,май,2021
35.0,Предприятие 35,,,12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.7063655030801,май,2021
36.0,Предприятие 36,,производство химических веществ и химических продуктов,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,май,2021
37.0,Предприятие 37,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,май,2021
38.0,Предприятие 38,,,200.0,200000.0,196.0,196000.0,98.0,60.0,60000.0,70.0,70000.0,116.66666666666667,май,2021
39.0,Предприятие 39,,,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,май,2021
40.0,Предприятие 40,,,350.0,350000.0,400.0,88.0,114.28571428571428,44.0,44000.0,47.0,88000.0,106.81818181818181,май,2021
41.0,Предприятие 41,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
42.0,Предприятие 42,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
43.0,Предприятие 43,,,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,май,2021
44.0,Предприятие 44,,,135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
45.0,Предприятие 45,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
46.0,Предприятие 46,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
47.0,Предприятие 47,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
48.0,Предприятие 48,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
49.0,Предприятие 49,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
50.0,Предприятие 50,,"производство лекарственных средств и материалов, применяемых в медицинских целях",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,май,2021
51.0,Предприятие 51,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,май,2021
52.0,Предприятие 52,,производство резиновых и пластмассовых изделий,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
53.0,Предприятие 53,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
54.0,Предприятие 54,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
56.0,Предприятие 56,,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
57.0,Предприятие 57,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
58.0,Предприятие 58,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
59.0,Предприятие 59,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
60.0,Предприятие 60,,производство металлургическое,12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,май,2021
,"Итого удельный вес, в %:",,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,май,2021
61.0,Предприятие 61,,"производство готовых металлических изделий, кроме машин и оборудования",135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
62.0,Предприятие 62,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
63.0,Предприятие 63,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
64.0,Предприятие 64,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
65.0,Предприятие 65,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
66.0,Предприятие 66,,производство машин и оборудования для металлургии,12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,май,2021
67.0,Предприятие 67,,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,май,2021
68.0,Предприятие 68,,производство машин и оборудования для добычи полезных ископаемых и строительства,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
69.0,Предприятие 69,,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923077,май,2021
70.0,Предприятие 70,,"производство компьютеров, электронных и оптических изделий",135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
71.0,Предприятие 71,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
72.0,Предприятие 72,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
73.0,Предприятие 73,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
74.0,Предприятие 74,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
75.0,Предприятие 75,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
76.0,Предприятие 76,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
77.0,Предприятие 77,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
78.0,Предприятие 78,,производство электрического оборудования,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
79.0,Предприятие 79,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
80.0,Предприятие 80,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
82.0,Предприятие 81,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
83.0,Предприятие 83,,"производство машин и оборудования, не включенных в другие группировки",135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
84.0,Предприятие 84,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
85.0,Предприятие 85,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
86.0,Предприятие 86,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
87.0,Предприятие 87,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
88.0,Предприятие 88,,,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923077,май,2021
89.0,Предприятие 89,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
90.0,Предприятие 90,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
91.0,Предприятие 91,,,12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,май,2021
92.0,Предприятие 92,,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,май,2021
93.0,Предприятие 93,,,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,май,2021
94.0,Предприятие 94,,,12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.7063655030801,май,2021
95.0,Предприятие 95,,,,,,,,,,,,,май,2021
96.0,Предприятие 96,,"производство автотранспортных средств, прицепов и полуприцепов",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
97.0,Предприятие 97,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
98.0,Предприятие 98,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
99.0,Предприятие 99,,,,,,,,,,,,,май,2021
100.0,Предприятие 100,,производство прочих транспортных средств и оборудования,12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,май,2021
101.0,Предприятие 101,,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,май,2021
102.0,Предприятие 102,,,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,май,2021
103.0,Предприятие 103,,производство мебели,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
104.0,Предприятие 104,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
105.0,Предприятие 105,,ремонт и монтаж машин и оборудования ,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
106.0,Предприятие 106,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
107.0,Предприятие 107,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,май,2021
108.0,Предприятие 108,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
109.0,Предприятие 109,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
110.0,Предприятие 110,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,май,2021
111.0,Предприятие 111,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
112.0,Предприятие 112,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
113.0,Предприятие 113,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
114.0,Предприятие 114,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
115.0,Предприятие 115,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
116.0,Предприятие 116,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
117.0,Предприятие 117,,,98.0,35263.0,64.0,12546.0,65.3061224489796,55.0,55000.0,35.0,35000.0,63.63636363636363,май,2021
118.0,Предприятие 118,,,,,,,,,,,,,май,2021
119.0,Предприятие 119,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
120.0,Предприятие 120,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
121.0,Предприятие 121,,,406.0,400000.0,300.0,300000.0,73.89162561576354,276.0,276000.0,360.0,77000.0,130.43478260869566,май,2021
122.0,Предприятие 122,,,300.0,301265.0,295.0,12165.0,98.33333333333333,80.0,80000.0,99.0,99000.0,123.75,май,2021
123.0,Предприятие 123,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,май,2021
124.0,Предприятие 124,,,210.0,200000.0,196.0,196000.0,93.33333333333333,60.0,60000.0,70.0,70000.0,116.66666666666667,май,2021
125.0,Предприятие 125,,,55.0,550000.0,28.0,238000.0,50.90909090909091,70.0,70000.0,80.0,80000.0,114.28571428571428,май,2021
126.0,Предприятие 126,,,40.0,400000.0,30.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,май,2021
127.0,Предприятие 127,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,май,2021
128.0,Предприятие 128,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,май,2021
129.0,Предприятие 129,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,май,2021
130.0,Предприятие 130,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,май,2021
1.0,Предприятие 1,Добыча полезных ископаемых,добыча металлических руд,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,июнь,2021
2.0,Предприятие 2,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,июнь,2021
3.0,Предприятие 3,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2021
4.0,Предприятие 4,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2021
5.0,Предприятие 5,,,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923077,июнь,2021
,"Итого удельный вес, в % ",,,,,,,,,,,,,июнь,2021
6.0,Предприятие 6,,Добыча сырой нефти и природного газа ,550.0,550000.0,330.0,330000.0,60.0,80.0,80000.0,70.0,70000.0,87.5,июнь,2021
7.0,Предприятие 7,,,120.0,120000.0,100.0,100000.0,83.33333333333334,55.0,55000.0,35.0,35000.0,63.63636363636363,июнь,2021
8.0,Предприятие 8,,добыча прочих полезных ископаемых,100.0,100000.0,90.0,90000.0,90.0,77.0,77000.0,60.0,60000.0,77.92207792207793,июнь,2021
9.0,Предприятие 9,,предоставление услуг в области добычи полезных ископаемых,330.0,330000.0,80.0,80000.0,24.242424242424242,78.0,78000.0,70.0,70000.0,89.74358974358975,июнь,2021
10.0,Предприятие 10,,,150.0,150000.0,100.0,100000.0,66.66666666666666,88.0,88000.0,90.0,90000.0,102.27272727272727,июнь,2021
11.0,Предприятие 11,,,550.0,550000.0,250.0,250000.0,45.45454545454545,135.0,135000.0,46.0,46000.0,34.074074074074076,июнь,2021
12.0,Предприятие 12,,,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,июнь,2021
13.0,Предприятие 13,,,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,80.0,80000.0,81.63265306122449,июнь,2021
,"Итого удельный вес, в %:",,,,,,,,,,,,,июнь,2021
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666667,70.0,70000.0,90.0,90000.0,128.57142857142858,июнь,2021
15.0,Предприятие 15,,производство одежды,300.0,300000.0,100.0,100000.0,33.33333333333333,50.0,50000.0,45.0,45000.0,90.0,июнь,2021
16.0,Предприятие 16,,,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,июнь,2021
17.0,Предприятие 17,,,135.0,135000.0,160.0,160000.0,118.5185185185185,69.0,69000.0,70.0,70000.0,101.44927536231884,июнь,2021
18.0,Предприятие 18,,,550.0,550000.0,238.0,238000.0,43.27272727272727,70.0,70000.0,80.0,80000.0,114.28571428571428,июнь,2021
19.0,Предприятие 19,,,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,июнь,2021
20.0,Предприятие 20,,производство кожи и изделий из кожи,400.0,400000.0,420.0,420000.0,105.0,80.0,80000.0,70.0,70000.0,87.5,июнь,2021
21.0,Предприятие 21,,,550.0,550000.0,300.0,300000.0,54.54545454545454,56.0,56000.0,60.0,60000.0,107.14285714285714,июнь,2021
22.0,Предприятие 22,,,150.0,150000.0,250.0,250000.0,166.66666666666669,75.0,75000.0,88.0,88000.0,117.33333333333333,июнь,2021
23.0,Предприятие 23,,производство изделий народных художественных промыслов ,100.0,100000.0,110.0,110000.0,110.00000000000001,56.0,56000.0,80.0,80000.0,142.85714285714286,июнь,2021
24.0,Предприятие 24,,,120.0,120726.0,90.0,90538.0,75.0,75.0,75000.0,70.0,70000.0,93.33333333333333,июнь,2021
25.0,Предприятие 25,,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,июнь,2021
26.0,Предприятие 26,,,550.0,550000.0,96.0,96000.0,17.454545454545457,78.0,78000.0,80.0,80000.0,102.56410256410255,июнь,2021
27.0,Предприятие 27,,,200.0,200000.0,196.0,196000.0,98.0,60.0,60000.0,70.0,70000.0,116.66666666666667,июнь,2021
28.0,Предприятие 28,,,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,июнь,2021
29.0,Предприятие 29,,,350.0,350000.0,400.0,88.0,114.28571428571428,44.0,44000.0,47.0,88000.0,106.81818181818181,июнь,2021
30.0,Предприятие 30,,производство бумаги и бумажных изделий,430.0,430000.0,420.0,96000.0,97.67441860465115,130.0,430000.0,89.0,96000.0,68.46153846153847,июнь,2021
31.0,Предприятие 31,,,500.0,500000.0,520.0,121546.0,104.0,98.0,500000.0,61.0,121546.0,62.244897959183675,июнь,2021
32.0,Предприятие 32,,"производство кокса, нефтепродуктов",12354.0,123450.0,6945.0,789465.0,56.216610004856726,514.0,12450.0,324.0,12450.0,63.035019455252915,июнь,2021
33.0,Предприятие 33,,,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,июнь,2021
34.0,Предприятие 34,,,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,июнь,2021
35.0,Предприятие 35,,,12487.0,124875.0,10053.0,113521.0,80.50772803715864,487.0,24875.0,432.0,24875.0,88.7063655030801,июнь,2021
36.0,Предприятие 36,,производство химических веществ и химических продуктов,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,июнь,2021
37.0,Предприятие 37,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,июнь,2021
38.0,Предприятие 38,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2021
39.0,Предприятие 39,,,430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,июнь,2021
40.0,Предприятие 40,,,500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923077,июнь,2021
41.0,Предприятие 41,,,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.00000000000001,июнь,2021
42.0,Предприятие 42,,,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.28571428571429,июнь,2021
43.0,Предприятие 43,,,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,июнь,2021
