№,Наименование предприятия,ОКВЭД,Вид деятельности,Отчетный период прошлого года (В натуральном выражении),Отчетный период прошлого года (В стоимостном выражении),Отчетный период текущего года (В натуральном выражении),Отчетный период текущего года (В стоимостном выражении),"Отношение периодов, %",Отчетный месяц прошлого года (В натуральном выражении),Отчетный месяц прошлого года (В стоимостном выражении),Отчетный месяц текущего года (В натуральном выражении),Отчетный месяц текущего года (В стоимостном выражении),"Отношение месяцев, %",Год,Месяц
5.0,Предприятие 5,Добыча полезных ископаемых,добыча металлических руд,281.0,500000.0,290.0,40000.0,103.20284697508896,36.0,65000.0,48.0,46000.0,133.33333333333331,2020,ноябрь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,добыча металлических руд,,,,,,,,,,,2020,ноябрь
6.0,Предприятие 6,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,330.0,550000.0,320.0,330000.0,96.96969696969695,65.0,80000.0,70.0,70000.0,107.69230769230772,2020,ноябрь
7.0,Предприятие 7,Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,101.0,120000.0,106.0,100000.0,104.95049504950495,36.0,55000.0,35.0,35000.0,97.2222222222222,2020,ноябрь
,"Итого удельный вес, в % ",Добыча полезных ископаемых,Добыча сырой нефти и природного газа ,,,,,,,,,,,2020,ноябрь
8.0,Предприятие 8,Добыча полезных ископаемых,добыча прочих полезных ископаемых,96.0,100000.0,90.0,90000.0,93.75,68.0,77000.0,60.0,60000.0,88.23529411764706,2020,ноябрь
,"Итого удельный вес, в %:",Добыча полезных ископаемых,добыча прочих полезных ископаемых,,,,,,,,,,,2020,ноябрь
9.0,Предприятие 9,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,320.0,330000.0,290.0,80000.0,90.625,125.0,78000.0,70.0,70000.0,56.00000000000001,2020,ноябрь
10.0,Предприятие 10,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,ноябрь
11.0,Предприятие 11,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,550.0,550000.0,400.0,250000.0,72.72727272727273,125.0,135000.0,104.0,46000.0,83.2,2020,ноябрь
12.0,Предприятие 12,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,2020,ноябрь
13.0,Предприятие 13,Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,220.0,220000.0,150.0,150000.0,68.18181818181817,98.0,98000.0,96.0,80000.0,97.95918367346935,2020,ноябрь
,"Итого удельный вес, в %:",Добыча полезных ископаемых,предоставление услуг в области добычи полезных ископаемых,,,,,,,,,,,2020,ноябрь
14.0,Предприятие 14,Обрабатывающие производства,производство текстильных изделий ,96.0,100000.0,112.0,150000.0,116.66666666666669,70.0,70000.0,90.0,90000.0,128.57142857142858,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство текстильных изделий ,,,,,,,,,,,2020,ноябрь
15.0,Предприятие 15,Обрабатывающие производства,производство одежды,311.0,300000.0,361.0,100000.0,116.07717041800645,50.0,50000.0,45.0,45000.0,90.0,2020,ноябрь
16.0,Предприятие 16,Обрабатывающие производства,производство одежды,204.0,220000.0,200.0,200000.0,98.0392156862745,99.0,78000.0,66.0,65000.0,66.66666666666666,2020,ноябрь
17.0,Предприятие 17,Обрабатывающие производства,производство одежды,126.0,135000.0,160.0,160000.0,126.98412698412695,69.0,69000.0,65.0,70000.0,94.20289855072464,2020,ноябрь
18.0,Предприятие 18,Обрабатывающие производства,производство одежды,550.0,550000.0,600.0,238000.0,109.09090909090908,70.0,70000.0,96.0,80000.0,137.14285714285714,2020,ноябрь
19.0,Предприятие 19,Обрабатывающие производства,производство одежды,400.0,400000.0,300.0,300000.0,75.0,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство одежды,,,,,,,,,,,2020,ноябрь
20.0,Предприятие 20,Обрабатывающие производства,производство кожи и изделий из кожи,410.0,400000.0,430.0,420000.0,104.8780487804878,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
21.0,Предприятие 21,Обрабатывающие производства,производство кожи и изделий из кожи,550.0,550000.0,300.0,300000.0,54.54545454545454,66.0,56000.0,60.0,60000.0,90.9090909090909,2020,ноябрь
22.0,Предприятие 22,Обрабатывающие производства,производство кожи и изделий из кожи,150.0,150000.0,250.0,250000.0,166.66666666666669,75.0,75000.0,99.0,88000.0,132.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство кожи и изделий из кожи,,,,,,,,,,,2020,ноябрь
23.0,Предприятие 23,Обрабатывающие производства,производство изделий народных художественных промыслов ,100.0,100000.0,110.0,110000.0,110.0,56.0,56000.0,80.0,80000.0,142.85714285714286,2020,ноябрь
24.0,Предприятие 24,Обрабатывающие производства,производство изделий народных художественных промыслов ,120.0,120726.0,90.0,90538.0,75.0,65.0,75000.0,70.0,70000.0,107.69230769230772,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство изделий народных художественных промыслов ,,,,,,,,,,,2020,ноябрь
25.0,Предприятие 25,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,53.0,99000.0,66.25,2020,ноябрь
26.0,Предприятие 26,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
27.0,Предприятие 27,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,56.0,70000.0,93.33333333333331,2020,ноябрь
28.0,Предприятие 28,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
29.0,Предприятие 29,Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"обработка древесины и производство изделий из дерева и пробки, кроме мебели, производство изделий из соломки и материалов для плетения",,,,,,,,,,,2020,ноябрь
30.0,Предприятие 30,Обрабатывающие производства,производство бумаги и бумажных изделий,410.0,430000.0,420.0,96000.0,102.43902439024393,130.0,430000.0,89.0,96000.0,68.46153846153847,2020,ноябрь
31.0,Предприятие 31,Обрабатывающие производства,производство бумаги и бумажных изделий,500.0,500000.0,520.0,121546.0,104.0,98.0,500000.0,61.0,121546.0,62.24489795918368,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство бумаги и бумажных изделий,,,,,,,,,,,2020,ноябрь
32.0,Предприятие 32,Обрабатывающие производства,"производство кокса, нефтепродуктов",1254.0,123450.0,695.0,789465.0,55.42264752791069,390.0,12450.0,324.0,12450.0,83.07692307692308,2020,ноябрь
33.0,Предприятие 33,Обрабатывающие производства,"производство кокса, нефтепродуктов",245.0,245360.0,196.0,96130.0,80.0,480.0,45360.0,236.0,45360.0,49.16666666666666,2020,ноябрь
34.0,Предприятие 34,Обрабатывающие производства,"производство кокса, нефтепродуктов",215.0,215453.0,176.0,176872.0,81.86046511627906,260.0,15453.0,213.0,15453.0,81.92307692307692,2020,ноябрь
35.0,Предприятие 35,Обрабатывающие производства,"производство кокса, нефтепродуктов",2156.0,124875.0,2000.0,113521.0,92.76437847866418,460.0,24875.0,432.0,24875.0,93.91304347826087,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство кокса, нефтепродуктов",,,,,,,,,,,2020,ноябрь
36.0,Предприятие 36,Обрабатывающие производства,производство химических веществ и химических продуктов,320.0,330000.0,290.0,80000.0,90.625,125.0,78000.0,70.0,70000.0,56.00000000000001,2020,ноябрь
37.0,Предприятие 37,Обрабатывающие производства,производство химических веществ и химических продуктов,102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,ноябрь
38.0,Предприятие 38,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,400.0,250000.0,72.72727272727273,125.0,135000.0,102.0,46000.0,81.6,2020,ноябрь
39.0,Предприятие 39,Обрабатывающие производства,производство химических веществ и химических продуктов,400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,203.0,77000.0,73.55072463768117,2020,ноябрь
40.0,Предприятие 40,Обрабатывающие производства,производство химических веществ и химических продуктов,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
41.0,Предприятие 41,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
42.0,Предприятие 42,Обрабатывающие производства,производство химических веществ и химических продуктов,210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
43.0,Предприятие 43,Обрабатывающие производства,производство химических веществ и химических продуктов,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
44.0,Предприятие 44,Обрабатывающие производства,производство химических веществ и химических продуктов,350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,ноябрь
45.0,Предприятие 45,Обрабатывающие производства,производство химических веществ и химических продуктов,300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
46.0,Предприятие 46,Обрабатывающие производства,производство химических веществ и химических продуктов,550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
47.0,Предприятие 47,Обрабатывающие производства,производство химических веществ и химических продуктов,210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
48.0,Предприятие 48,Обрабатывающие производства,производство химических веществ и химических продуктов,150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
49.0,Предприятие 49,Обрабатывающие производства,производство химических веществ и химических продуктов,350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство химических веществ и химических продуктов,,,,,,,,,,,2020,ноябрь
50.0,Предприятие 50,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,ноябрь
51.0,Предприятие 51,Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство лекарственных средств и материалов, применяемых в медицинских целях",,,,,,,,,,,2020,ноябрь
52.0,Предприятие 52,Обрабатывающие производства,производство резиновых и пластмассовых изделий,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
53.0,Предприятие 53,Обрабатывающие производства,производство резиновых и пластмассовых изделий,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,ноябрь
54.0,Предприятие 54,Обрабатывающие производства,производство резиновых и пластмассовых изделий,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство резиновых и пластмассовых изделий,,,,,,,,,,,2020,ноябрь
56.0,Предприятие 56,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
57.0,Предприятие 57,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,ноябрь
58.0,Предприятие 58,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
59.0,Предприятие 59,Обрабатывающие производства,производство прочей неметаллической минеральной продукции,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство прочей неметаллической минеральной продукции,,,,,,,,,,,2020,ноябрь
60.0,Предприятие 60,Обрабатывающие производства,производство металлургическое,220.0,220000.0,200.0,200000.0,90.9090909090909,78.0,78000.0,65.0,65000.0,83.33333333333334,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство металлургическое,,,,,,,,,,,2020,ноябрь
61.0,Предприятие 61,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",320.0,330000.0,290.0,80000.0,90.625,125.0,78000.0,70.0,70000.0,56.00000000000001,2020,ноябрь
62.0,Предприятие 62,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,ноябрь
63.0,Предприятие 63,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",550.0,550000.0,400.0,250000.0,72.72727272727273,125.0,135000.0,46.0,46000.0,36.8,2020,ноябрь
64.0,Предприятие 64,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,77.0,77000.0,27.898550724637683,2020,ноябрь
65.0,Предприятие 65,Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство готовых металлических изделий, кроме машин и оборудования",,,,,,,,,,,2020,ноябрь
66.0,Предприятие 66,Обрабатывающие производства,производство машин и оборудования для металлургии,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,ноябрь
67.0,Предприятие 67,Обрабатывающие производства,производство машин и оборудования для металлургии,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство машин и оборудования для металлургии,,,,,,,,,,,2020,ноябрь
68.0,Предприятие 68,Обрабатывающие производства,производство машин и оборудования для добычи полезных ископаемых и строительства,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство машин и оборудования для добычи полезных ископаемых и строительства,,,,,,,,,,,2020,ноябрь
69.0,Предприятие 69,Обрабатывающие производства,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",500.0,500000.0,400.0,40000.0,80.0,65.0,65000.0,46.0,46000.0,70.76923076923076,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство станков, машин и оборудования для обработки металлов и прочих твердых материалов",,,,,,,,,,,2020,ноябрь
70.0,Предприятие 70,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
71.0,Предприятие 71,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,ноябрь
72.0,Предприятие 72,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",530.0,560000.0,516.0,520000.0,97.35849056603772,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
73.0,Предприятие 73,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",410.0,430000.0,450.0,45000.0,109.75609756097565,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,ноябрь
74.0,Предприятие 74,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",360.0,500000.0,400.0,40000.0,111.11111111111113,65.0,65000.0,47.0,46000.0,72.30769230769229,2020,ноябрь
75.0,Предприятие 75,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,51.0,50000.0,91.07142857142857,2020,ноябрь
76.0,Предприятие 76,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,75.0,70000.0,93.75,2020,ноябрь
77.0,Предприятие 77,Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",98.0,100000.0,104.0,120000.0,106.12244897959185,75.0,75000.0,82.0,84000.0,109.33333333333331,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство компьютеров, электронных и оптических изделий",,,,,,,,,,,2020,ноябрь
78.0,Предприятие 78,Обрабатывающие производства,производство электрического оборудования,95.0,100000.0,120.0,120000.0,126.31578947368419,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
79.0,Предприятие 79,Обрабатывающие производства,производство электрического оборудования,110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,ноябрь
80.0,Предприятие 80,Обрабатывающие производства,производство электрического оборудования,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
82.0,Предприятие 81,Обрабатывающие производства,производство электрического оборудования,410.0,430000.0,450.0,45000.0,109.75609756097565,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство электрического оборудования,,,,,,,,,,,2020,ноябрь
83.0,Предприятие 83,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",330.0,330000.0,290.0,80000.0,87.87878787878788,125.0,78000.0,70.0,70000.0,56.00000000000001,2020,ноябрь
84.0,Предприятие 84,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",102.0,150000.0,130.0,100000.0,127.45098039215685,88.0,88000.0,90.0,90000.0,102.27272727272728,2020,ноябрь
85.0,Предприятие 85,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",654.0,550000.0,620.0,250000.0,94.8012232415902,125.0,135000.0,46.0,46000.0,36.8,2020,ноябрь
86.0,Предприятие 86,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",400.0,400000.0,360.0,300000.0,90.0,276.0,276000.0,204.0,77000.0,73.91304347826086,2020,ноябрь
87.0,Предприятие 87,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",300.0,301265.0,120.0,12165.0,40.0,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
88.0,Предприятие 88,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",550.0,550000.0,650.0,96000.0,118.1818181818182,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
89.0,Предприятие 89,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",205.0,200000.0,196.0,196000.0,95.60975609756098,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
90.0,Предприятие 90,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
91.0,Предприятие 91,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,ноябрь
92.0,Предприятие 92,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",300.0,301265.0,260.0,12165.0,86.66666666666669,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
93.0,Предприятие 93,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",550.0,550000.0,540.0,96000.0,98.1818181818182,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
94.0,Предприятие 94,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
95.0,Предприятие 95,Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство машин и оборудования, не включенных в другие группировки",,,,,,,,,,,2020,ноябрь
96.0,Предприятие 96,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",110.0,110000.0,99.0,96000.0,90.0,56.0,56000.0,50.0,50000.0,89.2857142857143,2020,ноябрь
97.0,Предприятие 97,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",570.0,560000.0,530.0,520000.0,92.98245614035088,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
98.0,Предприятие 98,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",99.0,100000.0,104.0,120000.0,105.05050505050508,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
99.0,Предприятие 99,Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,"производство автотранспортных средств, прицепов и полуприцепов",,,,,,,,,,,2020,ноябрь
100.0,Предприятие 100,Обрабатывающие производства,производство прочих транспортных средств и оборудования,12354.0,123450.0,6945.0,789465.0,56.21661000485673,514.0,12450.0,324.0,12450.0,63.03501945525292,2020,ноябрь
101.0,Предприятие 101,Обрабатывающие производства,производство прочих транспортных средств и оборудования,24536.0,245360.0,19613.0,96130.0,79.93560482556244,536.0,45360.0,236.0,45360.0,44.02985074626866,2020,ноябрь
102.0,Предприятие 102,Обрабатывающие производства,производство прочих транспортных средств и оборудования,21545.0,215453.0,17687.0,176872.0,82.09329310744953,245.0,15453.0,213.0,15453.0,86.93877551020408,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство прочих транспортных средств и оборудования,,,,,,,,,,,2020,ноябрь
103.0,Предприятие 103,Обрабатывающие производства,производство мебели,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
104.0,Предприятие 104,Обрабатывающие производства,производство мебели,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,производство мебели,,,,,,,,,,,2020,ноябрь
105.0,Предприятие 105,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
106.0,Предприятие 106,Обрабатывающие производства,ремонт и монтаж машин и оборудования ,100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
,"Итого удельный вес, в %:",Обрабатывающие производства,ремонт и монтаж машин и оборудования ,,,,,,,,,,,2020,ноябрь
107.0,Предприятие 107,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",560.0,560000.0,516.0,520000.0,92.14285714285714,80.0,80000.0,70.0,70000.0,87.5,2020,ноябрь
108.0,Предприятие 108,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",430.0,430000.0,450.0,45000.0,104.65116279069768,77.0,77000.0,55.0,55000.0,71.42857142857143,2020,ноябрь
109.0,Предприятие 109,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",406.0,400000.0,300.0,300000.0,73.89162561576354,276.0,276000.0,360.0,77000.0,130.43478260869566,2020,ноябрь
110.0,Предприятие 110,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",300.0,301265.0,295.0,12165.0,98.33333333333331,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
111.0,Предприятие 111,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",550.0,550000.0,96.0,96000.0,17.454545454545453,78.0,78000.0,80.0,80000.0,102.56410256410255,2020,ноябрь
112.0,Предприятие 112,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
113.0,Предприятие 113,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",150.0,150000.0,127.0,45000.0,84.66666666666667,50.0,50000.0,60.0,60000.0,120.0,2020,ноябрь
114.0,Предприятие 114,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",350.0,350000.0,415.0,88.0,118.57142857142857,44.0,44000.0,47.0,88000.0,106.8181818181818,2020,ноябрь
115.0,Предприятие 115,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",300.0,301265.0,240.0,12165.0,80.0,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
116.0,Предприятие 116,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",100.0,100000.0,120.0,120000.0,120.0,75.0,75000.0,84.0,84000.0,112.0,2020,ноябрь
117.0,Предприятие 117,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",98.0,35263.0,64.0,12546.0,65.3061224489796,55.0,55000.0,35.0,35000.0,63.63636363636363,2020,ноябрь
118.0,Предприятие 118,"обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",210.0,200000.0,196.0,196000.0,93.33333333333331,60.0,60000.0,70.0,70000.0,116.66666666666669,2020,ноябрь
,"Итого удельный вес, в %:","обеспечение электрической энергией, газом и паром; кондиционирование воздуха","обеспечение электрической энергией, газом и паром; кондиционирование воздуха",,,,,,,,,,,2020,ноябрь
119.0,Предприятие 119,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",400.0,400000.0,300.0,300000.0,75.0,276.0,276000.0,351.0,77000.0,127.17391304347828,2020,ноябрь
120.0,Предприятие 120,"водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений","водоснабжение; водоотведение, организация сбора и утилизации отходов, деятельность по ликвидации загрязнений",300.0,301265.0,304.0,12165.0,101.33333333333334,80.0,80000.0,99.0,99000.0,123.75,2020,ноябрь
